Time (s),Voltage (V)
0,3.97119805
1,3.943109127
2,3.933502375
3,3.926635621
4,3.921085029
5,3.916348829
6,3.912173477
7,3.908417794
8,3.904958486
9,3.901752435
10,3.898756117
11,3.895920672
12,3.893242162
13,3.890685863
14,3.88823323
15,3.885885701
16,3.883615945
17,3.881417053
18,3.879282812
19,3.877215326
20,3.875209241
21,3.873250126
22,3.871334786
23,3.86946028
24,3.867629033
25,3.865838259
26,3.864091418
27,3.862366708
28,3.860651598
29,3.858997782
30,3.857343966
31,3.855728733
32,3.854135769
33,3.852549834
34,3.851009851
35,3.849469869
36,3.847959304
37,3.84646592
38,3.844977921
39,3.843525979
40,3.842074038
41,3.84064549
42,3.839230767
43,3.837820316
44,3.83643918
45,3.835058043
46,3.833696024
47,3.832345435
48,3.830998334
49,3.829675773
50,3.828353212
51,3.827046732
52,3.82574998
53,3.824456134
54,3.823183259
55,3.821910384
56,3.82065133
57,3.819400735
58,3.818153778
59,3.816933769
60,3.815713759
61,3.81449375
62,3.81327374
63,3.812058023
64,3.810874956
65,3.809691889
66,3.808508822
67,3.807325755
68,3.806146459
69,3.804996621
70,3.803846782
71,3.802696944
72,3.801547106
73,3.800400613
74,3.799280984
75,3.798161355
76,3.797041725
77,3.795922096
78,3.794805471
79,3.793713666
80,3.79262186
81,3.791530054
82,3.790438248
83,3.789349165
84,3.788283233
85,3.7872173
86,3.786151367
87,3.785085435
88,3.78402198
89,3.782980217
90,3.781938455
91,3.780896692
92,3.77985493
93,3.778815442
94,3.777796484
95,3.776777527
96,3.775758569
97,3.774739612
98,3.773722748
99,3.772725377
100,3.771728006
101,3.770730634
102,3.769733263
103,3.768737826
104,3.767760977
105,3.766784128
106,3.765807279
107,3.76483043
108,3.763855371
109,3.762898074
110,3.761940777
111,3.760983481
112,3.760026184
113,3.759070557
114,3.758132072
115,3.757193587
116,3.756255102
117,3.755316617
118,3.75437967
119,3.753459057
120,3.752538445
121,3.751617832
122,3.75069722
123,3.749778053
124,3.748874793
125,3.747971534
126,3.747068274
127,3.746165014
128,3.745263084
129,3.74437633
130,3.743489575
131,3.742602821
132,3.741716067
133,3.740830561
134,3.739959859
135,3.739089157
136,3.738218455
137,3.737347752
138,3.736478179
139,3.735622513
140,3.734766848
141,3.733911182
142,3.733055517
143,3.732200955
144,3.731360553
145,3.730520152
146,3.72967975
147,3.728839348
148,3.727999869
149,3.727172726
150,3.726345583
151,3.72551844
152,3.724691297
153,3.723865117
154,3.723052384
155,3.722239651
156,3.721426919
157,3.720614186
158,3.719802279
159,3.719002427
160,3.718202574
161,3.717402722
162,3.71660287
163,3.715803763
164,3.715016071
165,3.714228378
166,3.713440686
167,3.712652993
168,3.711865979
169,3.711089862
170,3.710313746
171,3.709537629
172,3.708761513
173,3.70798602
174,3.707221069
175,3.706456118
176,3.705691167
177,3.704926216
178,3.704161808
179,3.703407084
180,3.702652361
181,3.701897637
182,3.701142913
183,3.700388684
184,3.699643775
185,3.698898866
186,3.698153957
187,3.697409048
188,3.696664551
189,3.695928313
190,3.695192075
191,3.694455837
192,3.693719599
193,3.692983747
194,3.692256107
195,3.691528468
196,3.690800829
197,3.690073189
198,3.689345833
199,3.688624914
200,3.687903994
201,3.687183075
202,3.686462156
203,3.68574149
204,3.685027015
205,3.68431254
206,3.683598065
207,3.68288359
208,3.682169318
209,3.681460409
210,3.6807515
211,3.680042591
212,3.679333682
213,3.678624951
214,3.677921298
215,3.677217645
216,3.676513992
217,3.675810339
218,3.675106798
219,3.674406716
220,3.673706635
221,3.673006553
222,3.672306471
223,3.671606511
224,3.670910697
225,3.670214882
226,3.669519068
227,3.668823254
228,3.668127485
229,3.667433458
230,3.66673943
231,3.666045403
232,3.665351376
233,3.664657396
234,3.663965428
235,3.663273461
236,3.662581493
237,3.661889525
238,3.661198572
239,3.660508553
240,3.659818535
241,3.659128516
242,3.658438522
243,3.65774986
244,3.657061198
245,3.656372537
246,3.655683875
247,3.654995779
248,3.654308214
249,3.65362065
250,3.652933085
251,3.652245533
252,3.651558865
253,3.650872197
254,3.65018553
255,3.649498862
256,3.648812631
257,3.648126818
258,3.647441005
259,3.646755192
260,3.646069385
261,3.645384393
262,3.644699401
263,3.644014409
264,3.643329417
265,3.642644829
266,3.641960635
267,3.641276441
268,3.640592247
269,3.639908056
270,3.639224548
271,3.63854104
272,3.637857532
273,3.637174025
274,3.636490968
275,3.635808361
276,3.635125754
277,3.634443147
278,3.633760541
279,3.63307853
280,3.632396521
281,3.631714512
282,3.631032503
283,3.630351089
284,3.629670281
285,3.628989473
286,3.628308665
287,3.627627857
288,3.626947607
289,3.626267361
290,3.625587115
291,3.624906869
292,3.624227046
293,3.623547662
294,3.622868279
295,3.622188895
296,3.621509916
297,3.620831454
298,3.620152992
299,3.61947453
300,3.618796391
301,3.618118764
302,3.617441136
303,3.616763509
304,3.616086222
305,3.615409611
306,3.614733001
307,3.614056391
308,3.613379962
309,3.612703995
310,3.612028028
311,3.61135206
312,3.610676374
313,3.610001629
314,3.609326885
315,3.60865214
316,3.607977472
317,3.607303159
318,3.606628847
319,3.605954534
320,3.605280381
321,3.604607348
322,3.603934315
323,3.603261281
324,3.602588495
325,3.601915964
326,3.601243434
327,3.600571097
328,3.599899439
329,3.599227782
330,3.598556124
331,3.597885069
332,3.597214044
333,3.596543019
334,3.59587231
335,3.595201747
336,3.594531184
337,3.593860913
338,3.593191057
339,3.592521201
340,3.591851456
341,3.591182381
342,3.590513307
343,3.589844232
344,3.589175547
345,3.588506918
346,3.58783829
347,3.587169803
348,3.586501409
349,3.585833016
350,3.585164877
351,3.584497249
352,3.583829621
353,3.583162057
354,3.582495459
355,3.58182886
356,3.581162261
357,3.580495538
358,3.579828781
359,3.579162025
360,3.578495025
361,3.577827803
362,3.57716058
363,3.576493714
364,3.5758279
365,3.575162087
366,3.574496274
367,3.573832054
368,3.573167863
369,3.572503672
370,3.571837461
371,3.571170434
372,3.570503408
373,3.569836797
374,3.569170711
375,3.568504624
376,3.567839697
377,3.567174921
378,3.56650995
379,3.565844576
380,3.565179202
381,3.564513012
382,3.563846573
383,3.563180457
384,3.562515568
385,3.56185068
386,3.561185713
387,3.560520704
388,3.559855649
389,3.55919013
390,3.558524612
391,3.557859046
392,3.557193468
393,3.556527841
394,3.555862162
395,3.555196424
396,3.554530423
397,3.553864422
398,3.553198306
399,3.552532174
400,3.55186597
401,3.551199713
402,3.550533351
403,3.549866712
404,3.549200073
405,3.548533192
406,3.547866304
407,3.547199209
408,3.54653201
409,3.545864681
410,3.545197128
411,3.544529537
412,3.543861406
413,3.543193275
414,3.542525144
415,3.541857013
416,3.541188506
417,3.540519554
418,3.539850602
419,3.539181649
420,3.538512424
421,3.5378426
422,3.537172776
423,3.536502952
424,3.535832966
425,3.53516218
426,3.534491394
427,3.533820607
428,3.533149796
429,3.532477961
430,3.531806126
431,3.531134291
432,3.530462456
433,3.529789626
434,3.529116659
435,3.528443692
436,3.527770725
437,3.527096865
438,3.52642268
439,3.525748496
440,3.525074311
441,3.524399369
442,3.523723898
443,3.523048426
444,3.522372955
445,3.521696879
446,3.521020047
447,3.520343214
448,3.519666381
449,3.518989118
450,3.518310846
451,3.517632574
452,3.516954301
453,3.516275797
454,3.515596019
455,3.51491624
456,3.514236462
457,3.513556669
458,3.512875332
459,3.512193995
460,3.511512657
461,3.51083132
462,3.510148576
463,3.509465612
464,3.508782647
465,3.508099682
466,3.507415498
467,3.506730837
468,3.506046176
469,3.505361515
470,3.504675859
471,3.503989466
472,3.503303072
473,3.502616678
474,3.501929527
475,3.501241369
476,3.500553211
477,3.499865053
478,3.499176366
479,3.498486349
480,3.497796331
481,3.497106313
482,3.496416026
483,3.495724081
484,3.495032136
485,3.494340191
486,3.493648246
487,3.492954487
488,3.492260717
489,3.491566948
490,3.490873179
491,3.490177836
492,3.489482215
493,3.488786595
494,3.488090974
495,3.48739375
496,3.486695855
497,3.48599796
498,3.485300065
499,3.484600946
500,3.483900865
501,3.483200784
502,3.482500703
503,3.481800048
504,3.481098582
505,3.480397117
506,3.479695652
507,3.478993664
508,3.478290263
509,3.477586862
510,3.476883462
511,3.476179656
512,3.475473013
513,3.47476637
514,3.474059727
515,3.473353084
516,3.472645046
517,3.471936981
518,3.471228915
519,3.47052085
520,3.469811293
521,3.469101443
522,3.468391593
523,3.467681742
524,3.466969981
525,3.466257362
526,3.465544743
527,3.464832124
528,3.464117872
529,3.463403552
530,3.462689232
531,3.461974566
532,3.461258735
533,3.460542905
534,3.459827075
535,3.45911005
536,3.458391827
537,3.457673604
538,3.456955381
539,3.456235454
540,3.455515015
541,3.454794575
542,3.454074083
543,3.453352267
544,3.452630452
545,3.451908636
546,3.451186112
547,3.450461996
548,3.449737879
549,3.449013763
550,3.448288335
551,3.447561947
552,3.44683556
553,3.446109172
554,3.445381234
555,3.444653015
556,3.443924796
557,3.443196375
558,3.442466424
559,3.441736472
560,3.441006521
561,3.440275718
562,3.439543562
563,3.438811406
564,3.438079249
565,3.437345555
566,3.436611052
567,3.435876549
568,3.435142046
569,3.434405983
570,3.433669793
571,3.432933603
572,3.432197115
573,3.431459394
574,3.430721673
575,3.429983952
576,3.429244921
577,3.428504378
578,3.427763835
579,3.427023292
580,3.426280403
581,3.425536662
582,3.424792922
583,3.424049182
584,3.423305553
585,3.422561925
586,3.421818296
587,3.421074027
588,3.420328053
589,3.419582078
590,3.418836104
591,3.418088548
592,3.417339659
593,3.41659077
594,3.415841622
595,3.415091329
596,3.414341037
597,3.413590745
598,3.412839485
599,3.412088023
600,3.411336561
601,3.41058396
602,3.409830075
603,3.40907619
604,3.408321974
605,3.407565159
606,3.406808343
607,3.406051528
608,3.405294134
609,3.404536553
610,3.403778972
611,3.403020814
612,3.402261784
613,3.401502754
614,3.400743602
615,3.399981593
616,3.399219583
617,3.398457573
618,3.397694526
619,3.396930999
620,3.396167471
621,3.395403668
622,3.394639293
623,3.393874918
624,3.393110543
625,3.39234362
626,3.391576614
627,3.390809609
628,3.390041155
629,3.38927178
630,3.388502405
631,3.387732716
632,3.386962106
633,3.386191496
634,3.385420886
635,3.384649063
636,3.383877101
637,3.383105139
638,3.382331735
639,3.381557099
640,3.380782463
641,3.380007302
642,3.379229783
643,3.378452263
644,3.377674744
645,3.376896304
646,3.376117668
647,3.375339032
648,3.374560325
649,3.373781537
650,3.37300275
651,3.372223601
652,3.37144152
653,3.37065944
654,3.369877359
655,3.369093087
656,3.368308092
657,3.367523098
658,3.366737989
659,3.365952705
660,3.365167421
661,3.364381301
662,3.363593776
663,3.362806252
664,3.362018101
665,3.361228795
666,3.36043949
667,3.359649646
668,3.358858708
669,3.358067771
670,3.357276278
671,3.356483539
672,3.355690799
673,3.354897566
674,3.354103102
675,3.353308639
676,3.35251372
677,3.351717537
678,3.350921354
679,3.35012474
680,3.34932679
681,3.348528839
682,3.347730307
683,3.346929734
684,3.346129161
685,3.345328587
686,3.344528014
687,3.34372744
688,3.342926238
689,3.342122142
690,3.341318046
691,3.340513949
692,3.339709853
693,3.338905757
694,3.33810118
695,3.337293531
696,3.336485882
697,3.335678233
698,3.334870584
699,3.334062934
700,3.333254957
701,3.332443739
702,3.331632521
703,3.330821303
704,3.330010084
705,3.329198866
706,3.328387473
707,3.327572654
708,3.326757836
709,3.325943018
710,3.325128199
711,3.324313381
712,3.323498543
713,3.322680095
714,3.321861646
715,3.321043198
716,3.32022475
717,3.319406301
718,3.318587853
719,3.317765887
720,3.316943782
721,3.316121677
722,3.315299573
723,3.314477468
724,3.313655363
725,3.312829868
726,3.312004074
727,3.311178279
728,3.310352484
729,3.30952669
730,3.308700895
731,3.307871838
732,3.307042317
733,3.306212796
734,3.305383275
735,3.304553754
736,3.303724234
737,3.302891588
738,3.302058311
739,3.301225035
740,3.300391759
741,3.299558482
742,3.298725206
743,3.297888938
744,3.29705187
745,3.296214802
746,3.295377733
747,3.294540665
748,3.293703596
749,3.292863663
750,3.292022752
751,3.291181841
752,3.29034093
753,3.289500019
754,3.288659108
755,3.287815477
756,3.286970692
757,3.286125907
758,3.285281122
759,3.284436337
760,3.283591553
761,3.282744195
762,3.281895507
763,3.281046818
764,3.280198129
765,3.279349441
766,3.278500752
767,3.277649614
768,3.276796946
769,3.275944279
770,3.275091612
771,3.274238944
772,3.273386277
773,3.272531307
774,3.271674616
775,3.270817925
776,3.269961235
777,3.269104544
778,3.268247853
779,3.26738904
780,3.266528337
781,3.265667634
782,3.264806931
783,3.263946228
784,3.263085525
785,3.262222821
786,3.261358
787,3.260493178
788,3.259628357
789,3.258763536
790,3.257898715
791,3.257032011
792,3.256162937
793,3.255293862
794,3.254424787
795,3.253555713
796,3.252686638
797,3.251815922
798,3.250942737
799,3.250069551
800,3.249196365
801,3.248323179
802,3.247449993
803,3.246575363
804,3.245698116
805,3.24482087
806,3.243943623
807,3.243066377
808,3.242189131
809,3.241308452
810,3.240427462
811,3.239546473
812,3.238665483
813,3.237784417
814,3.23689994
815,3.236015464
816,3.235130987
817,3.23424651
818,3.233361583
819,3.232473552
820,3.231585521
821,3.230697491
822,3.22980946
823,3.228920532
824,3.22802863
825,3.227136728
826,3.226244826
827,3.225352924
828,3.224459872
829,3.223564553
830,3.222669235
831,3.221773917
832,3.220878598
833,3.219981636
834,3.219082593
835,3.218183551
836,3.217284509
837,3.216385466
838,3.21548424
839,3.214581203
840,3.213678166
841,3.212775129
842,3.211872091
843,3.210966661
844,3.210059951
845,3.209153241
846,3.208246531
847,3.207339821
848,3.206430527
849,3.205520402
850,3.204610276
851,3.203700151
852,3.202790025
853,3.201876152
854,3.200961676
855,3.2000472
856,3.199132723
857,3.198218247
858,3.197299003
859,3.196379591
860,3.19546018
861,3.194540769
862,3.193621149
863,3.1926988
864,3.191776452
865,3.190854104
866,3.189931756
867,3.189008878
868,3.188083524
869,3.187158171
870,3.186232817
871,3.185307463
872,3.184380504
873,3.183449438
874,3.182518373
875,3.181587307
876,3.180656241
877,3.179722302
878,3.178787953
879,3.177853605
880,3.176919256
881,3.175983711
882,3.175046815
883,3.174109919
884,3.173173024
885,3.172235767
886,3.171293262
887,3.170350757
888,3.169408252
889,3.168465747
890,3.167520231
891,3.166573156
892,3.165626081
893,3.164679006
894,3.16373166
895,3.162783516
896,3.161835371
897,3.160887227
898,3.159939082
899,3.158986236
900,3.158032546
901,3.157078855
902,3.156125165
903,3.155169209
904,3.154210395
905,3.153251581
906,3.152292767
907,3.151332969
908,3.150372093
909,3.149411216
910,3.148450339
911,3.147487809
912,3.146523703
913,3.145559598
914,3.144595492
915,3.143628485
916,3.142659076
917,3.141689667
918,3.140720259
919,3.139748008
920,3.138773718
921,3.137799428
922,3.136825138
923,3.135850361
924,3.134875282
925,3.133900203
926,3.132925124
927,3.131947177
928,3.130967699
929,3.129988221
930,3.129008744
931,3.128025143
932,3.127039664
933,3.126054186
934,3.125068413
935,3.124080454
936,3.123092495
937,3.122104536
938,3.121114597
939,3.12012304
940,3.119131482
941,3.118139924
942,3.117144451
943,3.116148905
944,3.115153359
945,3.114156347
946,3.113157255
947,3.112158162
948,3.111159069
949,3.110156724
950,3.10915378
951,3.108150836
952,3.10714679
953,3.106139853
954,3.105132916
955,3.104125979
956,3.103116349
957,3.102105607
958,3.101094865
959,3.100083571
960,3.099068866
961,3.09805416
962,3.097039455
963,3.096022406
964,3.095003594
965,3.093984782
966,3.092965962
967,3.091943149
968,3.090920337
969,3.089897524
970,3.088872927
971,3.087845998
972,3.086819069
973,3.08579214
974,3.084761508
975,3.083730299
976,3.08269909
977,3.08166667
978,3.080631377
979,3.079596084
980,3.078560791
981,3.077522456
982,3.076482985
983,3.075443514
984,3.074403288
985,3.073359083
986,3.072314879
987,3.071270674
988,3.07022392
989,3.069175401
990,3.068126882
991,3.067078279
992,3.066026026
993,3.064973774
994,3.063921521
995,3.062866868
996,3.061809328
997,3.060751789
998,3.059694249
999,3.058631796
1000,3.057568708
1001,3.05650562
1002,3.055441735
1003,3.05437613
1004,3.053310526
1005,3.052244921
1006,3.051175814
1007,3.050105531
1008,3.049035247
1009,3.047963596
1010,3.046885717
1011,3.045807838
1012,3.044729959
1013,3.043650087
1014,3.04256895
1015,3.041487812
1016,3.040406587
1017,3.039323426
1018,3.038240264
1019,3.037157103
1020,3.036069649
1021,3.034977443
1022,3.033885237
1023,3.032793031
1024,3.031696524
1025,3.030599572
1026,3.029502619
1027,3.028404816
1028,3.027305344
1029,3.026205872
1030,3.025105673
1031,3.024000427
1032,3.02289518
1033,3.021789933
1034,3.020678041
1035,3.019565524
1036,3.018453008
1037,3.017339232
1038,3.016224923
1039,3.015110614
1040,3.013994443
1041,3.012876342
1042,3.011758241
1043,3.010638039
1044,3.009512414
1045,3.008386789
1046,3.007259741
1047,3.006130454
1048,3.005001167
1049,3.003870384
1050,3.002738093
1051,3.001605803
1052,3.000469711
1053,2.999331165
1054,2.99819262
1055,2.997050279
1056,2.99590644
1057,2.994762602
1058,2.993616952
1059,2.992470921
1060,2.991324891
1061,2.990172712
1062,2.989020115
1063,2.987867258
1064,2.986708996
1065,2.985550733
1066,2.984391891
1067,2.983229897
1068,2.982067903
1069,2.980904807
1070,2.979738653
1071,2.978572498
1072,2.977403989
1073,2.976231544
1074,2.975059099
1075,2.973883744
1076,2.972705285
1077,2.971526826
1078,2.970346187
1079,2.969164054
1080,2.967981922
1081,2.966796693
1082,2.965610155
1083,2.964423618
1084,2.963231078
1085,2.962037153
1086,2.960843227
1087,2.959645005
1088,2.958446419
1089,2.95724772
1090,2.956045547
1091,2.954843375
1092,2.95364023
1093,2.952431156
1094,2.951222082
1095,2.950011086
1096,2.948794334
1097,2.947577583
1098,2.94635962
1099,2.945139505
1100,2.94391939
1101,2.942697428
1102,2.941473381
1103,2.940249333
1104,2.939020253
1105,2.937787513
1106,2.936554772
1107,2.935315934
1108,2.934074338
1109,2.932832742
1110,2.931590489
1111,2.930348071
1112,2.929105652
1113,2.927857437
1114,2.926608632
1115,2.925359674
1116,2.924101899
1117,2.922844125
1118,2.921584746
1119,2.920323112
1120,2.919061478
1121,2.917797386
1122,2.916532733
1123,2.915266001
1124,2.913991574
1125,2.912717147
1126,2.911438879
1127,2.910158169
1128,2.908877445
1129,2.907595388
1130,2.906313332
1131,2.905027629
1132,2.903736643
1133,2.902445657
1134,2.901147488
1135,2.899847602
1136,2.898547131
1137,2.897244402
1138,2.895941673
1139,2.894636078
1140,2.893328604
1141,2.892021107
1142,2.890705015
1143,2.889388923
1144,2.888069186
1145,2.886744008
1146,2.88541883
1147,2.884091718
1148,2.882764122
1149,2.881435439
1150,2.880102365
1151,2.878769291
1152,2.87742916
1153,2.876084264
1154,2.874739368
1155,2.873390695
1156,2.872042005
1157,2.870692096
1158,2.86934031
1159,2.867987916
1160,2.86662458
1161,2.865261244
1162,2.863892407
1163,2.862521339
1164,2.861149708
1165,2.859777118
1166,2.858404453
1167,2.857029246
1168,2.85565404
1169,2.854270338
1170,2.852882776
1171,2.851489182
1172,2.8500842
1173,2.848679249
1174,2.84728039
1175,2.845881531
1176,2.844479298
1177,2.843075355
1178,2.841663145
1179,2.840249281
1180,2.838831481
1181,2.837411338
1182,2.835989051
1183,2.83456209
1184,2.833133506
1185,2.831700005
1186,2.830264613
1187,2.828826145
1188,2.827383868
1189,2.82593969
1190,2.824489886
1191,2.823038622
1192,2.82158359
1193,2.820124181
1194,2.818660819
1195,2.817197457
1196,2.815732992
1197,2.814258356
1198,2.812783719
1199,2.811307756
1200,2.809823613
1201,2.808339469
1202,2.806853315
1203,2.805358075
1204,2.803862836
1205,2.802365639
1206,2.800861618
1207,2.799357597
1208,2.797850027
1209,2.796332596
1210,2.794815165
1211,2.793295166
1212,2.791769357
1213,2.790243547
1214,2.788713753
1215,2.787176499
1216,2.785639244
1217,2.784097466
1218,2.782548607
1219,2.780999749
1220,2.779445681
1221,2.77788475
1222,2.776323819
1223,2.774757524
1224,2.77318526
1225,2.771612995
1226,2.77003437
1227,2.768449757
1228,2.766865143
1229,2.765274011
1230,2.763677691
1231,2.76208137
1232,2.76047707
1233,2.758867417
1234,2.757257764
1235,2.755640314
1236,2.754018481
1237,2.752396649
1238,2.750766088
1239,2.749131454
1240,2.747496821
1241,2.745851783
1242,2.74420277
1243,2.742553758
1244,2.740894822
1245,2.739232844
1246,2.737570865
1247,2.73589725
1248,2.734220854
1249,2.732544457
1250,2.730857262
1251,2.729168143
1252,2.727479024
1253,2.725775452
1254,2.724070102
1255,2.722364753
1256,2.720646553
1257,2.718927419
1258,2.717208285
1259,2.715472607
1260,2.713736488
1261,2.712000148
1262,2.710249986
1263,2.708499823
1264,2.706748643
1265,2.704980771
1266,2.7032129
1267,2.701443555
1268,2.699660822
1269,2.697878089
1270,2.696092734
1271,2.694291393
1272,2.692490052
1273,2.690685862
1274,2.68886892
1275,2.687051979
1276,2.68523065
1277,2.683394149
1278,2.681557648
1279,2.679716762
1280,2.677863781
1281,2.676010801
1282,2.674151484
1283,2.672277917
1284,2.670404351
1285,2.668524695
1286,2.666633705
1287,2.664742715
1288,2.662843239
1289,2.660930558
1290,2.659017877
1291,2.657097198
1292,2.655166043
1293,2.653234887
1294,2.651292865
1295,2.649338817
1296,2.647384768
1297,2.645420585
1298,2.64344691
1299,2.641473235
1300,2.639486048
1301,2.637488164
1302,2.63549028
1303,2.63347986
1304,2.631461078
1305,2.629442296
1306,2.62740705
1307,2.625362607
1308,2.623318163
1309,2.621257614
1310,2.619189599
1311,2.617121585
1312,2.615034862
1313,2.612941044
1314,2.610847226
1315,2.608735706
1316,2.6066188
1317,2.604501895
1318,2.602361013
1319,2.600214451
1320,2.598067888
1321,2.595897605
1322,2.593723141
1323,2.591548678
1324,2.589349312
1325,2.587146927
1326,2.584944543
1327,2.58271454
1328,2.580482575
1329,2.578250609
1330,2.575988068
1331,2.573724754
1332,2.571460892
1333,2.569165483
1334,2.566870074
1335,2.564572698
1336,2.562243858
1337,2.559915017
1338,2.557582682
1339,2.555219081
1340,2.552855479
1341,2.550486716
1342,2.548086834
1343,2.545686952
1344,2.543280121
1345,2.540842471
1346,2.538404822
1347,2.535958266
1348,2.533481157
1349,2.531004048
1350,2.528515956
1351,2.525997781
1352,2.523479606
1353,2.520947916
1354,2.518386028
1355,2.51582414
1356,2.51324643
1357,2.51063945
1358,2.50803247
1359,2.50540674
